kabupaten/kota;tahun;hasil_panen;status_panen;info_cuaca
Bandung;2018;314869,16;Data Awal;Cuaca: Hujan Lebat (25x), Angin Kencang, Hujan Lebat (7x), Angin Kencang, Hujan Es (1x), Puting Beliung (1x) | Dampak: Banjir / Genangan (16x), Pohon Tumbang (3x), Tanah Longsor (3x), Tidak ada data (3x), Banjir / Genangan, Bangunan Rusak (2x), Gangguan Transportasi (1x), Tanah Longsor, Bangunan Rusak, Gangguan Transportasi (1x), Pohon Tumbang, Bangunan Rusak (1x), Banjir / Genangan, Tanah Longsor, Bangunan Rusak, Korban Jiwa / Luka (1x), Banjir / Genangan, Pohon Tumbang, Tanah Longsor, Gangguan Transportasi (1x), Bangunan Rusak (1x), Banjir / Genangan, Pohon Tumbang (1x)
Bandung;2019;344214,39;NAIK (+29.345 ton);Cuaca: Hujan Lebat (27x), Angin Kencang, Hujan Lebat (6x), Puting Beliung (5x), Angin Kencang (4x), Hujan Es (2x), Suhu Ekstrem (1x) | Dampak: Banjir / Genangan (11x), Bangunan Rusak (8x), Pohon Tumbang (6x), Banjir / Genangan, Bangunan Rusak (5x), Pohon Tumbang, Bangunan Rusak (3x), Tidak ada data (3x), Tanah Longsor, Bangunan Rusak (2x), Banjir / Genangan, Gangguan Transportasi (1x), Banjir / Genangan, Korban Jiwa / Luka (1x), Banjir / Genangan, Pohon Tumbang, Tanah Longsor, Bangunan Rusak (1x), Bangunan Rusak, Korban Jiwa / Luka (1x), Korban Jiwa / Luka (1x), Banjir / Genangan, Tanah Longsor (1x), Tanah Longsor (1x)
Bandung;2020;277156,3;TURUN (-67.058 ton);Cuaca: Hujan Lebat (23x), Angin Kencang, Hujan Lebat (5x), Puting Beliung (2x), Angin Kencang (1x) | Dampak: Banjir / Genangan (19x), Bangunan Rusak (4x), Pohon Tumbang (2x), Pohon Tumbang, Bangunan Rusak (2x), Banjir / Genangan, Gangguan Transportasi (2x), Banjir / Genangan, Bangunan Rusak (1x), Tanah Longsor, Bangunan Rusak (1x)
Bandung;2021;310715,2;NAIK (+33.559 ton);Cuaca: Hujan Lebat (24x), Angin Kencang, Hujan Lebat (9x), Angin Kencang (2x), Puting Beliung, Hujan Lebat, Hujan Es (1x), Angin Kencang, Hujan Es (1x), Puting Beliung (1x), Angin Kencang, Hujan Lebat, Hujan Es (1x) | Dampak: Banjir / Genangan (21x), Bangunan Rusak (3x), Pohon Tumbang (3x), Tanah Longsor (2x), Banjir / Genangan, Gangguan Transportasi (2x), Pohon Tumbang, Bangunan Rusak (2x), Pohon Tumbang, Bangunan Rusak, Korban Jiwa / Luka (1x), Banjir / Genangan, Tanah Longsor (1x), Banjir / Genangan, Pohon Tumbang, Tanah Longsor, Korban Jiwa / Luka (1x), Banjir / Genangan, Pohon Tumbang, Tanah Longsor, Bangunan Rusak (1x), Pohon Tumbang, Bangunan Rusak, Gangguan Transportasi (1x), Banjir / Genangan, Bangunan Rusak, Gangguan Transportasi (1x)
Bandung;2022;289205,7;TURUN (-21.510 ton);Cuaca: Hujan Lebat (28x), Angin Kencang, Hujan Lebat (8x), Puting Beliung (6x), Angin Kencang (2x), Angin Kencang, Hujan Lebat, Hujan Es (2x) | Dampak: Banjir / Genangan (15x), Pohon Tumbang (6x), Banjir / Genangan, Gangguan Transportasi (6x), Bangunan Rusak (5x), Tanah Longsor (3x), Pohon Tumbang, Gangguan Transportasi (3x), Bangunan Rusak, Korban Jiwa / Luka (2x), Tanah Longsor, Bangunan Rusak, Korban Jiwa / Luka (1x), Tanah Longsor, Bangunan Rusak, Gangguan Transportasi (1x), Tanah Longsor, Bangunan Rusak (1x), Banjir / Genangan, Tanah Longsor (1x), Banjir / Genangan, Pohon Tumbang (1x), Pohon Tumbang, Bangunan Rusak (1x)
Bandung;2023;300142,9;NAIK (+10.937 ton);Cuaca: Hujan Lebat (26x), Angin Kencang, Hujan Lebat (12x), Angin Kencang (3x), Puting Beliung (3x), Puting Beliung, Hujan Lebat (1x), Angin Kencang, Hujan Lebat, Hujan Es (1x) | Dampak: Banjir / Genangan, Gangguan Transportasi (10x), Bangunan Rusak (6x), Banjir / Genangan (6x), Pohon Tumbang, Gangguan Transportasi (5x), Pohon Tumbang, Bangunan Rusak (4x), Banjir / Genangan, Tanah Longsor (2x), Tanah Longsor, Bangunan Rusak (2x), Pohon Tumbang, Tanah Longsor, Bangunan Rusak (1x), Banjir / Genangan, Bangunan Rusak, Gangguan Transportasi (1x), Tanah Longsor, Gangguan Transportasi (1x), Pohon Tumbang (1x), Banjir / Genangan, Pohon Tumbang, Bangunan Rusak, Korban Jiwa / Luka, Gangguan Transportasi (1x), Tanah Longsor, Bangunan Rusak, Korban Jiwa / Luka (1x), Tanah Longsor, Korban Jiwa / Luka (1x), Banjir / Genangan, Tanah Longsor, Bangunan Rusak, Gangguan Transportasi (1x), Banjir / Genangan, Pohon Tumbang, Gangguan Transportasi (1x), Banjir / Genangan, Bangunan Rusak (1x), Banjir / Genangan, Pohon Tumbang, Tanah Longsor, Gangguan Transportasi (1x)
Bandung;2024;334188,6;NAIK (+34.046 ton);Cuaca: Angin Kencang, Hujan Lebat (17x), Hujan Lebat (14x), Angin Kencang (3x), Puting Beliung (2x), Angin Kencang, Hujan Lebat, Hujan Es (2x), Hujan Lebat, Petir (1x), Petir (1x) | Dampak: Banjir / Genangan, Gangguan Transportasi (5x), Bangunan Rusak (4x), Pohon Tumbang, Gangguan Transportasi (4x), Banjir / Genangan, Bangunan Rusak, Gangguan Transportasi (3x), Pohon Tumbang (3x), Pohon Tumbang, Bangunan Rusak (3x), Tidak diketahui (2x), Korban Jiwa / Luka (2x), Banjir / Genangan, Bangunan Rusak (2x), Banjir / Genangan (2x), Tanah Longsor, Bangunan Rusak, Korban Jiwa / Luka (1x), Banjir / Genangan, Korban Jiwa / Luka (1x), Tanah Longsor, Bangunan Rusak (1x), Pohon Tumbang, Tanah Longsor, Bangunan Rusak (1x), Bangunan Rusak, Korban Jiwa / Luka, Gangguan Transportasi (1x), Tanah Longsor (1x), Tanah Longsor, Bangunan Rusak, Gangguan Transportasi (1x), Banjir / Genangan, Pohon Tumbang (1x), Pohon Tumbang, Korban Jiwa / Luka, Gangguan Transportasi (1x), Banjir / Genangan, Tanah Longsor, Bangunan Rusak (1x)
Kota Bandung;2018;8244,51;Data Awal;Cuaca: Hujan Lebat (25x), Angin Kencang, Hujan Lebat (7x), Angin Kencang, Hujan Es (1x), Puting Beliung (1x) | Dampak: Banjir / Genangan (16x), Pohon Tumbang (3x), Tanah Longsor (3x), Tidak ada data (3x), Banjir / Genangan, Bangunan Rusak (2x), Gangguan Transportasi (1x), Tanah Longsor, Bangunan Rusak, Gangguan Transportasi (1x), Pohon Tumbang, Bangunan Rusak (1x), Banjir / Genangan, Tanah Longsor, Bangunan Rusak, Korban Jiwa / Luka (1x), Banjir / Genangan, Pohon Tumbang, Tanah Longsor, Gangguan Transportasi (1x), Bangunan Rusak (1x), Banjir / Genangan, Pohon Tumbang (1x)
Kota Bandung;2019;7317,23;TURUN (-927 ton);Cuaca: Hujan Lebat (27x), Angin Kencang, Hujan Lebat (6x), Puting Beliung (5x), Angin Kencang (4x), Hujan Es (2x), Suhu Ekstrem (1x) | Dampak: Banjir / Genangan (11x), Bangunan Rusak (8x), Pohon Tumbang (6x), Banjir / Genangan, Bangunan Rusak (5x), Pohon Tumbang, Bangunan Rusak (3x), Tidak ada data (3x), Tanah Longsor, Bangunan Rusak (2x), Banjir / Genangan, Gangguan Transportasi (1x), Banjir / Genangan, Korban Jiwa / Luka (1x), Banjir / Genangan, Pohon Tumbang, Tanah Longsor, Bangunan Rusak (1x), Bangunan Rusak, Korban Jiwa / Luka (1x), Korban Jiwa / Luka (1x), Banjir / Genangan, Tanah Longsor (1x), Tanah Longsor (1x)
Kota Bandung;2020;6799,08;TURUN (-518 ton);Cuaca: Hujan Lebat (23x), Angin Kencang, Hujan Lebat (5x), Puting Beliung (2x), Angin Kencang (1x) | Dampak: Banjir / Genangan (19x), Bangunan Rusak (4x), Pohon Tumbang (2x), Pohon Tumbang, Bangunan Rusak (2x), Banjir / Genangan, Gangguan Transportasi (2x), Banjir / Genangan, Bangunan Rusak (1x), Tanah Longsor, Bangunan Rusak (1x)
Kota Bandung;2021;7097,77;NAIK (+299 ton);Cuaca: Hujan Lebat (24x), Angin Kencang, Hujan Lebat (9x), Angin Kencang (2x), Puting Beliung, Hujan Lebat, Hujan Es (1x), Angin Kencang, Hujan Es (1x), Puting Beliung (1x), Angin Kencang, Hujan Lebat, Hujan Es (1x) | Dampak: Banjir / Genangan (21x), Bangunan Rusak (3x), Pohon Tumbang (3x), Tanah Longsor (2x), Banjir / Genangan, Gangguan Transportasi (2x), Pohon Tumbang, Bangunan Rusak (2x), Pohon Tumbang, Bangunan Rusak, Korban Jiwa / Luka (1x), Banjir / Genangan, Tanah Longsor (1x), Banjir / Genangan, Pohon Tumbang, Tanah Longsor, Korban Jiwa / Luka (1x), Banjir / Genangan, Pohon Tumbang, Tanah Longsor, Bangunan Rusak (1x), Pohon Tumbang, Bangunan Rusak, Gangguan Transportasi (1x), Banjir / Genangan, Bangunan Rusak, Gangguan Transportasi (1x)
