Tanggal;Provinsi;Kabupaten/Kota;Cuaca Ekstrem;Dampak
2021-01-12;Jawa Barat;Kab. Bandung;Hujan Lebat;Banjir / Genangan
2021-01-12;Jawa Barat;Kab. Bandung;Hujan Lebat;Banjir / Genangan
2021-01-16;Jawa Barat;Kab. Bandung;Hujan Lebat;Banjir / Genangan
2021-03-06;Jawa Barat;Kab. Bandung;Hujan Lebat;Tanah Longsor
2021-03-08;Jawa Barat;Kab. Bandung;Angin Kencang, Hujan Lebat;Pohon Tumbang, Bangunan Rusak
2021-03-23;Jawa Barat;Kab. Bandung;Hujan Lebat;Banjir / Genangan
2021-03-23;Jawa Barat;Kab. Bandung;Hujan Lebat;Banjir / Genangan
2021-03-24;Jawa Barat;Kab. Bandung;Hujan Lebat;Banjir / Genangan
2021-03-25;Jawa Barat;Kab. Bandung;Hujan Lebat;Banjir / Genangan
2021-03-26;Jawa Barat;Kab. Bandung;Hujan Lebat;Banjir / Genangan
2021-03-28;Jawa Barat;Kab. Bandung;Angin Kencang, Hujan Lebat;Pohon Tumbang, Bangunan Rusak, Korban Jiwa / Luka
2021-03-28;Jawa Barat;Kab. Bandung;Puting Beliung, Hujan Lebat, Hujan Es;Bangunan Rusak
2021-04-01;Jawa Barat;Kab. Bandung;Hujan Lebat;Banjir / Genangan
2021-04-08;Jawa Barat;Kab. Bandung;Angin Kencang;Pohon Tumbang
2021-04-11;Jawa Barat;Kab. Bandung;Angin Kencang, Hujan Es;Pohon Tumbang, Bangunan Rusak
2021-04-14;Jawa Barat;Kab. Bandung;Hujan Lebat;Banjir / Genangan
2021-04-20;Jawa Barat;Kab. Bandung;Hujan Lebat;Tanah Longsor
2021-04-23;Jawa Barat;Kab. Bandung;Hujan Lebat;Banjir / Genangan
2021-05-28;Jawa Barat;Kab. Bandung;Puting Beliung;Bangunan Rusak
2021-06-11;Jawa Barat;Kab. Bandung;Hujan Lebat;Banjir / Genangan
2021-09-26;Jawa Barat;Kab. Bandung;Hujan Lebat;Banjir / Genangan
2021-10-20;Jawa Barat;Kab. Bandung;Hujan Lebat;Banjir / Genangan, Tanah Longsor
2021-10-21;Jawa Barat;Kab. Bandung;Angin Kencang, Hujan Lebat;Pohon Tumbang
2021-10-30;Jawa Barat;Kab. Bandung;Hujan Lebat;Banjir / Genangan
2021-11-02;Jawa Barat;Kab. Bandung;Angin Kencang, Hujan Lebat;Banjir / Genangan, Pohon Tumbang, Tanah Longsor, Korban Jiwa / Luka
2021-11-10;Jawa Barat;Kab. Bandung;Angin Kencang, Hujan Lebat;Banjir / Genangan, Pohon Tumbang, Tanah Longsor, Bangunan Rusak
2021-11-18;Jawa Barat;Kab. Bandung;Angin Kencang;Pohon Tumbang
2021-11-27;Jawa Barat;Kab. Bandung;Hujan Lebat;Banjir / Genangan, Gangguan Transportasi
2021-12-11;Jawa Barat;Kab. Bandung;Angin Kencang, Hujan Lebat;Pohon Tumbang, Bangunan Rusak, Gangguan Transportasi
2021-12-25;Jawa Barat;Kab. Bandung;Hujan Lebat;Banjir / Genangan, Bangunan Rusak, Gangguan Transportasi
2022-01-11;Jawa Barat;Kab. Bandung;Hujan Lebat;Banjir / Genangan
2022-01-15;Jawa Barat;Kab. Bandung;Hujan Lebat;Tanah Longsor, Bangunan Rusak, Korban Jiwa / Luka
2022-02-15;Jawa Barat;Kab. Bandung;Hujan Lebat;Banjir / Genangan
2022-02-26;Jawa Barat;Kab. Bandung;Angin Kencang;Bangunan Rusak, Korban Jiwa / Luka
2022-03-12;Jawa Barat;Kab. Bandung;Puting Beliung;Bangunan Rusak
2022-03-13;Jawa Barat;Kab. Bandung;Puting Beliung;Bangunan Rusak
2022-04-19;Jawa Barat;Kab. Bandung;Hujan Lebat;Banjir / Genangan
2022-04-24;Jawa Barat;Kab. Bandung;Angin Kencang, Hujan Lebat;Pohon Tumbang
2022-04-30;Jawa Barat;Kab. Bandung;Angin Kencang, Hujan Lebat;Pohon Tumbang
2022-06-02;Jawa Barat;Kab. Bandung;Puting Beliung;Bangunan Rusak, Korban Jiwa / Luka
2022-06-06;Jawa Barat;Kab. Bandung;Hujan Lebat;Banjir / Genangan
2022-06-12;Jawa Barat;Kab. Bandung;Angin Kencang, Hujan Lebat;Pohon Tumbang
2022-08-18;Jawa Barat;Kab. Bandung;Hujan Lebat;Tanah Longsor
2022-09-04;Jawa Barat;Kab. Bandung;Puting Beliung;Bangunan Rusak
2022-10-11;Jawa Barat;Kab. Bandung;Hujan Lebat;Tanah Longsor, Bangunan Rusak, Gangguan Transportasi
2022-11-28;Jawa Barat;Kab. Bandung;Hujan Lebat;Banjir / Genangan
2022-12-01;Jawa Barat;Kab. Bandung;Hujan Lebat;Tanah Longsor
2022-12-03;Jawa Barat;Kab. Bandung;Hujan Lebat;Banjir / Genangan, Tanah Longsor
2022-12-08;Jawa Barat;Kab. Bandung;Hujan Lebat;Banjir / Genangan
2022-12-15;Jawa Barat;Kab. Bandung;Hujan Lebat;Banjir / Genangan
2022-12-18;Jawa Barat;Kab. Bandung;Hujan Lebat;Tanah Longsor, Bangunan Rusak
2023-01-17;Jawa Barat;Kab. Bandung;Angin Kencang, Hujan Lebat;Pohon Tumbang, Tanah Longsor, Bangunan Rusak
2023-01-18;Jawa Barat;Kab. Bandung;Hujan Lebat;Banjir / Genangan, Gangguan Transportasi
2023-01-21;Jawa Barat;Kab. Bandung;Angin Kencang;Pohon Tumbang, Gangguan Transportasi
2023-02-04;Jawa Barat;Kab. Bandung;Angin Kencang;Bangunan Rusak
2023-03-17;Jawa Barat;Kab. Bandung;Hujan Lebat;Banjir / Genangan
