Kabupaten/Kota;Luas Panen Tanaman Padi (ha) (Ha);Produktivitas Tanaman Padi (ku/ha) (Ku/ha);Rekap Produksi Padi (ton);Tahun
Bogor;61617,01;56,59;348683,62;2018
Bogor;54 987,79;55,99;307 860,89;2019
Bogor;55692,05;53,68;298974,7;2020
Bogor;57426,46;49,66;285154;2021
Bogor;56002,23;53,55;299893,8;2022
Bogor;50999,48;55,54;283266,6;2023
Bogor;50168,52;59,73;299675,8;2024
Sukabumi;102 963,67;51,07;525 859,03;2018
Sukabumi;93 377,51;50,20;468 764,28;2019
Sukabumi;93371,47;55,85;521459,3;2020
Sukabumi;89510,44;55,07;492926,27;2021
Sukabumi;95012,99;53,49;508220,5;2022
Sukabumi;93866,34;54,59;512391,6;2023
Sukabumi;81612,3;57,2;466835,9;2024
Cianjur;124 685,40;55,88;696 725,99;2018
Cianjur;117 909,06;54,43;641 804,29;2019
Cianjur;113856,5;54,72;622992,3;2020
Cianjur;113538,5;53,88;611773,02;2021
Cianjur;115877,2;53,33;617941;2022
Cianjur;115749,7;56,17;650123,1;2023
Cianjur;105305,7;59,91;630847,8;2024
Bandung;54 427,68;57,85;314 869,16;2018
Bandung;56 310,25;61,13;344 214,39;2019
Bandung;50150,32;55,27;277156,3;2020
Bandung;50552,68;61,46;310715,2;2021
Bandung;47537,79;60,84;289205,7;2022
Bandung;49366,27;60,8;300142,9;2023
Bandung;51947,62;64,33;334188,6;2024
Garut;80 402,15;55,92;449 584,54;2018
Garut;80 397,63;55,90;449 395,01;2019
Garut;77873,41;54,56;424913,9;2020
Garut;75965,56;58,36;443319,91;2021
Garut;75951,04;58,11;441316,2;2022
Garut;74538,34;60,88;453787,9;2023
Garut;71635,66;63,51;454937,5;2024
Tasikmalaya;88 756,44;57,47;510 048,82;2018
Tasikmalaya;83 365,36;52,93;441 241,69;2019
Tasikmalaya;72941,41;60,92;444358,2;2020
Tasikmalaya;82934,85;53,77;445909,19;2021
Tasikmalaya;81310,17;53;430961,7;2022
Tasikmalaya;69685,72;56,16;391379,7;2023
Tasikmalaya;66324,47;53,29;353415,1;2024
Ciamis;55 153,36;57,33;316 212,98;2018
Ciamis;51 209,15;54,04;276 734,07;2019
Ciamis;52925,2;53,43;282791,5;2020
Ciamis;55013,02;58,23;320330,73;2021
Ciamis;55844,25;54,74;305676,2;2022
Ciamis;53976,46;55,42;299124,5;2023
Ciamis;44307,13;53,32;236248,2;2024
Kuningan;51 501,89;61,05;314 443,94;2018
Kuningan;44 201,18;49,76;219 953,32;2019
Kuningan;45785,65;60,57;277317,9;2020
Kuningan;47236,3;58,41;275893,22;2021
Kuningan;48250,13;57,53;277583,8;2022
Kuningan;44815,65;58,24;261023,3;2023
Kuningan;41522,97;53,81;223427,8;2024
Cirebon;98 981,65;55,82;552 564,77;2018
Cirebon;87 700,59;57,31;502 574,97;2019
Cirebon;83233,39;59,72;497080,1;2020
Cirebon;84946,29;54,71;464730,69;2021
Cirebon;84892,18;58,27;494700;2022
Cirebon;82797,11;59,89;495878,2;2023
Cirebon;84465,74;60,45;510632;2024
Majalengka;90 247,50;61,41;554 231,74;2018
Majalengka;94 996,45;60,21;572 005,83;2019
Majalengka;98037,63;57,77;566334,5;2020
Majalengka;97515,62;54,79;534250,18;2021
Majalengka;100950,5;56,08;566087,3;2022
Majalengka;100124,1;55,77;558430,3;2023
Majalengka;87220,48;55,5;484085,7;2024
Sumedang;58 924,49;56,09;330 508,46;2018
Sumedang;56 438,90;53,63;302 668,85;2019
Sumedang;55892,07;54,96;307178;2020
Sumedang;53341,28;49,12;262037,84;2021
Sumedang;56662,01;52,62;298163;2022
Sumedang;53525,51;53,64;287112,5;2023
Sumedang;49430,79;55;271869;2024
Indramayu;238 107,56;59,42;1 414 730,62;2018
Indramayu;215 731,12;63,80;1 376 429,68;2019
Indramayu;226626,1;60,16;1363312;2020
Indramayu;227051,3;58,12;1319623,64;2021
Indramayu;245329,3;60,42;1482256;2022
Indramayu;230457;61,8;1424303;2023
Indramayu;212866,2;65,74;1399352;2024
Subang;173 693,25;57,05;990 994,87;2018
Subang;156 298,50;60,33;942 932,04;2019
Subang;169416,1;57,3;970759,7;2020
Subang;163946,7;58,52;959456,43;2021
Subang;177986,4;58,36;1038781;2022
Subang;174865;58,77;1027660;2023
Subang;163881,6;59,12;968941,5;2024
Purwakarta;32 959,22;53,79;177 276,30;2018
Purwakarta;26 452,65;54,37;143 820,03;2019
Purwakarta;30315,68;52,76;159957,5;2020
Purwakarta;32930,64;50,98;167865,29;2021
Purwakarta;34396,95;54,87;188731,7;2022
Purwakarta;31884,84;58,5;186533,2;2023
Purwakarta;30629,17;58,9;180397,1;2024
Karawang;199 474,94;56,83;1 133 671,33;2018
Karawang;185 806,99;60,16;1 117 813,97;2019
Karawang;181915,2;59,8;1087874;2020
Karawang;197916,3;62,36;1234133,75;2021
Karawang;204326,3;60,05;1226880;2022
Karawang;189064,6;59,87;1131977;2023
Karawang;183065,5;56,89;1041531;2024
Bekasi;109 811,31;49,63;544 986,21;2018
Bekasi;97 749,45;56,23;549 639,74;2019
Bekasi;103171,7;48,86;504103,3;2020
Bekasi;100338,3;58,56;587586,07;2021
Bekasi;103089;53,91;555747,1;2022
Bekasi;93338,02;53,28;497339,5;2023
Bekasi;84199,55;49,46;416477;2024
Bandung Barat;31 641,73;54,02;170 934,99;2018
Bandung Barat;29 184,27;54,48;158 988,38;2019
Bandung Barat;29196,89;56,39;164640,5;2020
Bandung Barat;27654,55;52,97;146494,62;2021
Bandung Barat;29201,93;52,62;153648,3;2022
Bandung Barat;26709,13;53,62;143212,5;2023
Bandung Barat;27566,67;53,98;148803;2024
Pangandaran;34 218,69;56,81;194 398,08;2018
Pangandaran;29 858,96;58,47;174 597,02;2019
Pangandaran;29313,07;52,87;154982,6;2020
Pangandaran;27677,79;50,58;140000,72;2021
Pangandaran;30115,9;49,37;148670,6;2022
Pangandaran;30250,9;46,05;139300,3;2023
Pangandaran;24131,55;48,98;118188,5;2024
Kota Bogor;81,81;51,38;420,38;2018
Kota Bogor;62,29;48,85;304,28;2019
Kota Bogor;33,32;45,7;152,26;2020
Kota Bogor;36,09;47,69;172,1;2021
Kota Bogor;32,21;54,02;173,99;2022
Kota Bogor;25,76;47,99;123,61;2023
Kota Bogor;28,35;53,05;150,39;2024
Kota Sukabumi;2 566,25;56,26;14 436,50;2018
Kota Sukabumi;2 391,05;63,17;15 103,37;2019
Kota Sukabumi;2335,74;62,22;14532,67;2020
Kota Sukabumi;2456,16;61,57;15123,41;2021
Kota Sukabumi;2176,04;60,91;13254,34;2022
Kota Sukabumi;2699,69;59,96;16187,08;2023
Kota Sukabumi;2337,35;58,58;13693,1;2024
Kota Bandung;1 375,64;59,93;8 244,51;2018
Kota Bandung;1 214,88;60,23;7 317,23;2019
Kota Bandung;1074,49;63,28;6799,08;2020
Kota Bandung;1025,58;69,21;7097,77;2021
Kota Bandung;995,22;72,21;7186,11;2022
Kota Bandung;901,17;70,19;6325,63;2023
Kota Bandung;940,85;69,59;6547,7;2024
Kota Cirebon;348,55;50,72;1 767,92;2018
Kota Cirebon;231,11;47,20;1 090,79;2019
Kota Cirebon;225,82;45,67;1031,24;2020
Kota Cirebon;231,68;53,72;1244,61;2021
Kota Cirebon;159,8;53,93;861,82;2022
Kota Cirebon;137,1;56,12;769,39;2023
Kota Cirebon;99,81;63,94;638,23;2024
Kota Bekasi;441,34;55,73;2 459,63;2018
Kota Bekasi;518,27;58,76;3 045,20;2019
Kota Bekasi;483,64;56,3;2723,05;2020
Kota Bekasi;477,98;48,21;2304,54;2021
Kota Bekasi;454,07;41,15;1868,44;2022
Kota Bekasi;306,86;42,9;1316,49;2023
Kota Bekasi;282,68;42,86;1211,69;2024
Kota Depok;62,67;56,97;357,06;2018
Kota Depok;84,99;54,72;465,03;2019
Kota Depok;30,99;61,06;189,23;2020
Kota Depok;45,39;53,83;244,35;2021
Kota Depok;14,55;49,57;72,13;2022
Kota Depok;5,82;52,42;30,51;2023
Kota Depok;5,82;56,24;32,73;2024
Kota Cimahi;70,95;55,51;393,82;2018
